Eze 16:7	Be multiplied! I have made you as the rising of the field. And you were multiplied, and magnified, and entered into cities of cities.  Your breasts  erected, and  your hair  rose up; but you were naked and indecent.
Eze 28:2	And you, O son of man, say to the ruler of Tyre! Thus says Adonai the LORD; because your heart was raised up high,   and you said, I am the God, I inhabited the dwelling of God in the heart of the sea. But you are a man, and not God, and you made  your heart  as the heart of God.
Eze 33:9	But you, if you should forewarn the impious  of his way to turn from it, and he should not turn from  his way,  this one shall die in his impiety;  but you  rescued your own soul.
Eze 36:8	But your grape and your fruit my people shall eat O mountains of Israel;     for they are hoping  to come.
Eze 40:3	And he brought me there, and behold, a man. And  his appearance  was as the appearance of shining brass, and in  his hand  was a string measure of builders, and a reed measure. And set he them at the gate.
Eze 44:29	And the sacrifices, even the ones for a sin offering, and the ones for an ignorance offering, these they shall eat; and every separation offering in  Israel will be theirs.
Ezr 2:66	their horses -- seven hundred thirty-six; mules -- their two hundred forty-five;
Gen 3:15	And I will put hatred between you and between the woman; and between  your seed  and between  her seed. He will give heed to your head, and you will give heed to his heel.
Gen 3:16	And to the woman he said, In multiplying I will multiply  your distresses,  and  your moanings.  In distresses you will bear children, and to  your husband   your submission,  and he will dominate you.
Gen 6:21	But you shall take to yourself from all of the foods which you shall eat, and you shall bring them together to yourself, and it shall be to you and to them to eat.
Gen 7:1	And the LORD God said  to Noah, Enter, you and all  your house  into the ark! for beheld I you as just before me among  this generation.
Gen 9:2	And the fear of you and  trembling will be upon all the wild beasts of the earth, upon all the winged creatures of the heaven, and upon all the things moving upon the earth, and upon all the fishes of the sea. Under your hands have given to I them you.
Gen 9:3	And every reptile which is living shall be to you for food; as I have given all vegetation of grass to you.
Gen 9:7	But you grow, and multiply, and fill the earth, and multiply upon the earth!
Gen 12:1	And the LORD said to Abram, Come forth from out of  your land,  and from  your kin,  and from the house  of your father, and come into the land which ever shall show to I you.
Gen 14:13	And a certain person of the ones being rescued coming, reported to Abram, to the traveler. And he dwelt at the oak  of Mamre the Amorite of the brother of Eshcol, and the brother of Aner, who were confederates  of Abram.
Gen 15:15	But you shall go forth to  your fathers  with peace, being entombed in a good old age.
Gen 18:8	And he took butter, and milk, and the young calf which he prepared, and placed it near to them, and they ate. And he stood beside them under the tree.
Gen 20:15	And Abimelech said   to Abraham, Behold,  my land is before you, which ever may please it you, dwell there!
Gen 21:13	But also the son  of this maidservant  I will make into a great nation, for he is your seed.
Gen 22:2	And he said, Take  your son,  the beloved, whom you loved --  Isaac! And go into the high land,  and offer him there as a whole offering upon one of the mountains! which ever may tell I you.
Gen 23:11	By me let it be, O lord, and hear me! The field and the cave  in it give to I you. Before all  of my fellow-countrymen I have given it to you. You entomb  your dead.
Gen 23:15	Not so O lord, for I heard four hundred double-drachmas of silver; but what ever may this be  between me and you? But you  entomb your dead!
Gen 24:62	And Isaac  was traveling over through the wilderness by the Well of the Vision. And he dwelt in the land  towards the south.
Gen 26:2	And the LORD appeared to him, and said, You should not go down into Egypt, but dwell in the land! which ever should tell I you.
Gen 26:3	And sojourn in  this land! And I will be with you, and I will bless you. For to you and  your seed  I will give all  this land. And I will establish  my oath, which I swore  to Abraham  your father.
Gen 26:27	And Isaac said to them, Why did you come to me; for you detested me, and you sent me from you?
Gen 26:30	And he made a banquet for them. And they ate and drank.
Gen 27:8	Now then, O my son,  hear me as I give charge to you!
Gen 27:37	And answering Isaac said  to Esau, If I made him master of you, and I made all his brothers   his servants, to support him -- with grain and wine then to you what may I do child?
Gen 28:15	And behold, I am with you, guarding you in  every way of which ever you may go. And I will return you to  this land, for no way would abandon I you until  my doing all as much as I spoke to you.
Gen 29:9	While he was speaking to them, and behold, Rachel the daughter of Laban comes with the sheep  of her father. For she grazed the sheep  of her father.
Gen 30:26	Give to me my wives, and  my children!  for whom I have served to you, that I might go forth. For you know the servitude which I have served you.
Gen 30:30	For there was little as much as was to you before me, and it was grown into a multitude; and the LORD blessed you by  my foot. Now then, when shall I also produce for myself a house?
Gen 30:31	And Laban said  to him, What shall give to I you? And Jacob said to him, You shall not give  to me anything. If you should do for me  this word, again I will tend  your flocks,  and guard them.
Gen 31:16	All the riches and the glory which the God of our father removed   will be ours and  our children's. Now then as much as God has said to you,   you do!
Gen 31:21	And he ran away, himself and  all of his. And he passed over the river, and he advanced unto the mountain of Gilead.
Gen 32:21	And the gifts went before  his face.  And he went to sleep  that night in the camp.
Gen 33:3	But he went forth in front of them, and did obeisance on the ground seven times, while approaching to his brother.
Gen 34:19	And the young man did not pass time  to do  this word, for he clung to the daughter of Jacob. And he was most honorable of all of the ones in the house  of his father.
Gen 38:14	And removing the garments of the widowhood from herself, she put around a lightweight covering, and bedecked herself, and sat by the gates of Enaim, which is in the byway of Timnath. For she knew that Shelah was older, but he did not give her to him as wife.
Gen 38:17	And  he said, I will send to you a kid of the goats from out of  my flocks.  And she said, You should give  a deposit until  you send it.
Gen 38:18	And  he said, What  deposit shall give to I you?  And she said, Your ring,  and the pendant, and the rod  in  your hand.  And he gave them to her, and he entered to her. And she conceived in the womb from him.
Gen 38:23	And Judah said, Let her have them, but lest at any time we should be ridiculed, I indeed sent  this kid, but you have not found her.
Gen 42:8	And Joseph recognized  his brothers,  but they did not recognize him.
Gen 42:16	You send one from you, and take  your brother! But you shall be taken away until  your sayings become apparent,   if you be truthful, or not. But if not, by the health of Pharaoh, assuredly you are spies.
Gen 42:19	If you are peaceable,  let one of your brothers be held  in the prison! but you yourselves proceed, and take back the purchase  of your provision!
Gen 42:23	And they did not know that Joseph heard,  for the translator was between them.
Gen 43:4	If  then, you send  our brother with us, we will go down, and we will buy foods for you.
Gen 44:5	Is this not  in which  my master drinks?   And he foretells an omen by it? You completed the wicked things which you have done.
Gen 44:10	And he said, And now as you say, so it will be. By whom ever the drinking cup should be found, will be my servant, and all you shall be pure.
Gen 44:17	And Joseph said, Let it not be to me to do  this thing. The man by whom was found with the drinking cup, he will be my servant. But all you ascend with safety to  your father.
Gen 44:20	And we said to the master, There is to us a father, an older man, and a younger child in his old age, and  his brother  died, and he alone was left behind  of his mother,  and his father loved him.
Gen 44:23	And you said to your servants,  If Your younger brother does not go down   with you, you shall not proceed to see  my face.
